ticker,sector,industry,country,market_cap_usd
CRDO,Technology,Semiconductors,Cayman Islands,31756744704.0
CRGY,Energy,Oil & Gas E&P,United States,4306481152.0
CRK,Energy,Oil & Gas E&P,United States,4349635584.0
CRL,Healthcare,Diagnostics & Research,United States,7266102272.0
CRM,Technology,Software - Application,United States,141940506624.0
CRMD,Healthcare,Biotechnology,United States,592311744.0
CRNC,Technology,Software - Application,United States,442214304.0
CROX,Consumer Cyclical,Footwear & Accessories,United States,4717535232.0
CRS,Industrials,Metal Fabrication,United States,20317937664.0
CRUS,Technology,Semiconductors,United States,8146390528.0
CRWD,Technology,Software - Infrastructure,United States,151215063040.0
CRWV,Technology,Software - Infrastructure,United States,58539700224.0
CSCO,Technology,Communication Equipment,United States,466916868096.0
CSG.NA,Unknown,Unknown,Unknown,
CSGP,Real Estate,Real Estate Services,United States,13345064960.0
CSGS,Technology,Software - Application,United States,2300464128.0
CSX,Industrials,Railroads,United States,84842618880.0
CTAS,Industrials,Specialty Business Services,United States,67347038208.0
CTRA,Energy,Oil & Gas E&P,United States,24724652032.0
CTRE,Real Estate,REIT - Healthcare Facilities,United States,9718923264.0
CTRI,Utilities,Utilities - Regulated Gas,United States,3158245632.0
CTSH,Technology,Information Technology Services,United States,22292490240.0
CTVA,Basic Materials,Agricultural Inputs,United States,54983688192.0
CUAEF,Energy,Thermal Coal,China,137077227520.0
CUBI,Financial Services,Banks - Regional,United States,2449274624.0
CURB,Real Estate,REIT - Retail,United States,2912886016.0
CVI,Energy,Oil & Gas Refining & Marketing,United States,3406981888.0
CVNA,Consumer Cyclical,Auto & Truck Dealerships,United States,53332832256.0
CVS,Healthcare,Healthcare Plans,United States,122348666880.0
CVSA,Consumer Defensive,Education & Training Services,United States,4183417088.0
CVX,Energy,Oil & Gas Integrated,United States,380594323456.0
CW,Industrials,Aerospace & Defense,United States,26328705024.0
CWEN,Utilities,Utilities - Renewable,United States,8727517184.0
CWEN/A,Unknown,Unknown,Unknown,
CXM,Technology,Software - Application,United States,1271696896.0
CXSE3.BZ,Unknown,Unknown,Unknown,
CXW,Industrials,Security & Protection Services,United States,2050946688.0
Cash&Other,Unknown,Unknown,Unknown,
DAKT,Technology,Electronic Components,United States,928158464.0
DAL,Industrials,Airlines,United States,46140715008.0
DAN,Consumer Cyclical,Auto Parts,United States,3626320128.0
DASH,Consumer Cyclical,Internet Retail,United States,69366415360.0
DAVE,Technology,Software - Application,United States,2997892096.0
DBD,Technology,Software - Application,United States,2413598720.0
DBK GR,Unknown,Unknown,Unknown,
DBX,Technology,Software - Infrastructure,United States,6257123328.0
DCH,Consumer Cyclical,Auto Parts,United States,1509652480.0
DCI,Industrials,Specialty Industrial Machinery,United States,9489818624.0
DD,Basic Materials,Specialty Chemicals,United States,20213221376.0
DDOG,Technology,Software - Application,United States,74032603136.0
DDS,Consumer Cyclical,Department Stores,United States,8412760064.0
DE,Industrials,Farm & Heavy Construction Machinery,United States,151754391552.0
DEA,Real Estate,REIT - Office,United States,1108034816.0
DECK,Consumer Cyclical,Footwear & Accessories,United States,13280838656.0
DELL,Technology,Computer Hardware,United States,157339172864.0
DFY.CT,Unknown,Unknown,Unknown,
DG,Consumer Defensive,Discount Stores,United States,22546769920.0
DGII,Technology,Communication Equipment,United States,2337536512.0
DGX,Healthcare,Diagnostics & Research,United States,20657061888.0
DHI,Consumer Cyclical,Residential Construction,United States,38393843712.0
DINO,Energy,Oil & Gas Refining & Marketing,United States,12621083648.0
DIOD,Technology,Semiconductors,United States,4596311552.0
DIS,Communication Services,Entertainment,United States,178374459392.0
DLB,Industrials,Specialty Business Services,United States,5128163328.0
DLTR,Consumer Defensive,Discount Stores,United States,17443502080.0
DNOW,Industrials,Industrial Distribution,United States,2398654208.0
DOCN,Technology,Software - Infrastructure,United States,16162880512.0
DOCS,Healthcare,Health Information Services,United States,3571505664.0
DOCU,Technology,Software - Application,United States,9269642240.0
DORL IT,Unknown,Unknown,Unknown,
DORM,Consumer Cyclical,Auto Parts,United States,3471184640.0
DOV,Industrials,Specialty Industrial Machinery,United States,28382584832.0
DOW,Basic Materials,Chemicals,United States,27928731648.0
DOX,Technology,Software - Infrastructure,United States,6516651520.0
DPM.CT,Unknown,Unknown,Unknown,
DRI,Consumer Cyclical,Restaurants,United States,22436261888.0
DTM,Energy,Oil & Gas Midstream,United States,15106250752.0
DUOL,Technology,Software - Application,United States,5221224448.0
DV,Communication Services,Advertising Agencies,United States,1390385664.0
DVN,Energy,Oil & Gas E&P,United States,57061474304.0
DXC,Technology,Information Technology Services,United States,1461509888.0
DXCM,Healthcare,Medical Devices,United States,23781353472.0
DXPE,Industrials,Industrial Distribution,United States,2276800000.0
DY,Industrials,Engineering & Construction,United States,13129234432.0
EA,Communication Services,Electronic Gaming & Multimedia,United States,50310778880.0
EAT,Consumer Cyclical,Restaurants,United States,5885062656.0
EBAY,Consumer Cyclical,Internet Retail,United States,51561717760.0
EBS,Healthcare,Drug Manufacturers - Specialty & Generic,United States,409674592.0
EBS AV,Unknown,Unknown,Unknown,
ECG,Industrials,Engineering & Construction,United States,7999240704.0
EDV CN,Unknown,Unknown,Unknown,
EDV.CN,Unknown,Unknown,Unknown,
EE,Energy,Oil & Gas Midstream,United States,4065912576.0
EFC,Real Estate,REIT - Mortgage,United States,1671496960.0
EFOR,Technology,Information Technology Services,United States,736359936.0
EHAB,Healthcare,Medical Care Facilities,United States,706913408.0
EHC,Healthcare,Medical Care Facilities,United States,10578589696.0
EL,Consumer Defensive,Household & Personal Products,United States,29044895744.0
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic,United States,9919069184.0
EMBC,Healthcare,Medical Instruments & Supplies,United States,186288912.0
EME,Industrials,Engineering & Construction,United States,40663134208.0
EMR,Industrials,Specialty Industrial Machinery,United States,74521305088.0
EMR AU,Unknown,Unknown,Unknown,
ENLT,Utilities,Utilities - Renewable,Israel,11963479040.0
ENLT IT,Unknown,Unknown,Unknown,
ENR GR,Unknown,Unknown,Unknown,
ENR.GR,Unknown,Unknown,Unknown,
ENS,Industrials,Electrical Equipment & Parts,United States,8733038592.0
ENVA,Financial Services,Credit Services,United States,4081620736.0
EOG,Energy,Oil & Gas E&P,United States,74706477056.0
EPAM,Technology,Information Technology Services,United States,4859778560.0
EPR,Real Estate,REIT - Specialty,United States,4387714560.0
EQT,Energy,Oil & Gas E&P,United States,35164372992.0
ERIE,Financial Services,Insurance Brokers,United States,11140356096.0
ESAB,Industrials,Metal Fabrication,United States,5394119680.0
ESE,Technology,Scientific & Technical Instruments,United States,7509711872.0
ESLT IT,Unknown,Unknown,Unknown,
ETD,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,479409056.0
ETN,Industrials,Specialty Industrial Machinery,Ireland,155102560256.0
ETR,Utilities,Utilities - Regulated Electric,United States,49923403776.0
ETSY,Consumer Cyclical,Internet Retail,United States,5510624256.0
EUR,Unknown,Unknown,Unknown,
EVER,Communication Services,Internet Content & Information,United States,618324928.0
EVN AU,Unknown,Unknown,Unknown,
EVRG,Utilities,Utilities - Regulated Electric,United States,18556299264.0
EXC,Utilities,Utilities - Regulated Electric,United States,44386770944.0
EXE,Energy,Oil & Gas E&P,United States,23131037696.0
EXEL,Healthcare,Biotechnology,United States,12600430592.0
EXENS FP,Unknown,Unknown,Unknown,
EXLS,Technology,Information Technology Services,United States,4198474752.0
EXPD,Industrials,Integrated Freight & Logistics,United States,20331481088.0
EXPE,Consumer Cyclical,Travel Services,United States,26132406272.0
EXPI,Real Estate,Real Estate Services,United States,1073469056.0
EXTR,Technology,Communication Equipment,United States,3224987648.0
EYE,Consumer Cyclical,Specialty Retail,United States,1398035840.0
EZPW,Financial Services,Credit Services,United States,2030687232.0
F,Consumer Cyclical,Auto Manufacturers,United States,53394882560.0
FANG,Energy,Oil & Gas E&P,United States,57264136192.0
FAST,Industrials,Industrial Distribution,United States,49663995904.0
FBNC,Financial Services,Banks - Regional,United States,2373707264.0
FCFS,Financial Services,Credit Services,United States,9930763264.0
FCX,Basic Materials,Copper,United States,90580639744.0
FDP,Consumer Defensive,Farm Products,Cayman Islands,1545764096.0
FDS,Financial Services,Financial Data & Stock Exchanges,United States,7744529408.0
FDX,Industrials,Integrated Freight & Logistics,United States,89663643648.0
FE,Utilities,Utilities - Regulated Electric,United States,25346852864.0
FER,Industrials,Engineering & Construction,Netherlands,47954886656.0
FERTIGLB.UH,Unknown,Unknown,Unknown,
FET,Energy,Oil & Gas Equipment & Services,United States,637222592.0
FFIV,Technology,Software - Infrastructure,United States,20456491008.0
FGXXX,Unknown,Unknown,Unknown,
FHI,Financial Services,Asset Management,United States,4103838208.0
FHN,Financial Services,Banks - Regional,United States,11186742272.0
FIGR,Financial Services,Capital Markets,United States,9532158976.0
FITB,Financial Services,Banks - Regional,United States,42913849344.0
FIVE,Consumer Cyclical,Specialty Retail,United States,11813208064.0
FIVN,Technology,Software - Infrastructure,United States,1656844544.0
FIX,Industrials,Engineering & Construction,United States,70149275648.0
FLEX,Technology,Electronic Components,United States,50687524864.0
FLO,Consumer Defensive,Packaged Foods,United States,1521129344.0
FLOC,Energy,Oil & Gas Equipment & Services,United States,2912535040.0
FN,Technology,Electronic Components,Cayman Islands,25870503936.0
FORM,Technology,Semiconductor Equipment & Materials,United States,9843348480.0
FOUR,Technology,Software - Infrastructure,United States,4165440512.0
FOX,Communication Services,Entertainment,United States,24316180480.0
FOXA,Communication Services,Entertainment,United States,27249080320.0
FRO,Energy,Oil & Gas Midstream,Cyprus,8161355264.0
FRSH,Technology,Software - Application,United States,2476850176.0
FSLR,Technology,Solar,United States,25076389888.0
FSS,Industrials,Pollution & Treatment Controls,United States,6791381504.0
FTDR,Consumer Cyclical,Personal Services,United States,4319447552.0
